ticket_id,model_id,version,risk_tier,approver,emergency,opened_at,approved_at,description
WB-001,readiness-assessor,v0.1.0,medium,Reviewer Name,FALSE,2026-08-25,2026-08-28,Initial assessor prompt and harness
WB-002,readiness-assessor,v0.2.0,medium,Reviewer Name,FALSE,2026-09-04,2026-09-05,Add Lane B continuous control testing
WB-003,readiness-assessor,v0.2.0,medium,Reviewer Name,false,2026-09-06,2026-09-06,Pin dependencies to exact versions
WB-005,readiness-assessor,v0.2.0,medium,Reviewer Name,false,2026-09-06,2026-09-06,CI gate with exception-aware blocking and evidence branch
WB-004,readiness-assessor,v0.2.0,medium,Reviewer Name,false,2026-09-06,2026-09-06,Add model card for readiness-assessor
WB-006,readiness-assessor,v0.2.0,low,Reviewer Name,false,2026-09-06,2026-09-06,Gate test: unpin and revert
WB-007,readiness-assessor,v0.2.0,medium,Reviewer Name,false,2026-09-06,2026-09-06,Join Lane A and Lane B through lifecycle plays
WB-008,readiness-assessor,v0.2.0,medium,Reviewer Name,false,2026-09-06,2026-09-06,Add stress-test and oversight control packs
WB-009,readiness-assessor,v0.2.0,high,Reviewer Name,false,2026-09-06,2026-09-06,Harden assessor against evidence-embedded instructions
WB-010,readiness-assessor,v0.3.0,medium,Reviewer Name,false,2026-09-06,2026-09-06,Stress-test scanner with target abstraction and engine adapters (garak, promptfoo)
