ticket_id,model_id,version,risk_tier,approver,emergency,opened_at,approved_at,description,record_status,evidence_basis
WB-001,readiness-assessor,v0.1.0,medium,Reviewer Name,FALSE,2026-08-25,2026-08-28,Initial assessor prompt and harness,approved_record,ticket register
WB-002,readiness-assessor,v0.2.0,medium,Reviewer Name,FALSE,2026-09-04,2026-09-05,Add Lane B continuous control testing,approved_record,ticket register
WB-003,readiness-assessor,v0.2.0,medium,Reviewer Name,false,2026-09-06,2026-09-06,Pin dependencies to exact versions,approved_record,ticket register
WB-004,readiness-assessor,v0.2.0,medium,Reviewer Name,false,2026-09-06,2026-09-06,Add model card for readiness-assessor,approved_record,ticket register
WB-005,readiness-assessor,v0.2.0,medium,Reviewer Name,false,2026-09-06,2026-09-06,CI gate with exception-aware blocking and evidence branch,approved_record,ticket register
WB-006,readiness-assessor,v0.3.0,medium,NOT_RECORDED,FALSE,2026-09-06,,Test the governance gate and record the gate-test ticket.,historical_reconstructed,repository evidence; approval metadata not present
WB-007,readiness-assessor,v0.3.0,medium,NOT_RECORDED,FALSE,2026-09-06,,Join Lane A and Lane B through lifecycle plays.,historical_reconstructed,repository evidence; approval metadata not present
WB-008,readiness-assessor,v0.3.0,high,NOT_RECORDED,FALSE,2026-09-06,,"Add lifecycle cards, step judge, validator, hybrid retrieval, stress-test and oversight control packs.",historical_reconstructed,repository evidence; approval metadata not present
WB-009,readiness-assessor,v0.3.0,high,NOT_RECORDED,FALSE,2026-09-06,,Harden the assessor against evidence-embedded instructions; add Lane-B-fed lifecycle steps and judge stress target.,historical_reconstructed,repository evidence; approval metadata not present
WB-010,readiness-assessor,v0.3.0,high,NOT_RECORDED,FALSE,2026-09-06,,Stress-test the scanner with target abstraction and engine adapters.,historical_reconstructed,repository evidence; approval metadata not present
WB-011,readiness-assessor,v0.3.0,high,Reviewer Name,false,2026-09-06,2026-09-06,Policy as code for the AI lifecycle,approved_record,ticket register
WB-012,readiness-assessor,v0.3.0,medium,Reviewer Name,false,2026-09-06,2026-09-06,Restore stress scanner and governance exports lost in a bad commit,approved_record,ticket register
WB-013,readiness-assessor,v0.3.0,high,NOT_RECORDED,FALSE,2026-09-06,,Extend control/bundle schemas for play and policy references; adapters fail safe; retain evidence when the gate blocks.,historical_reconstructed,repository evidence; approval metadata not present
WB-014,readiness-assessor,v0.3.0,high,Reviewer Name,false,2026-09-06,2026-09-06,Tiered obligations in policy as code,approved_record,ticket register
WB-015,readiness-assessor,v0.3.0,high,Reviewer Name,false,2026-09-06,2026-09-06,Correct eval_results (no evaluation was ever run); within_tolerance reports NOT_TESTABLE on missing metrics,approved_record,ticket register
WB-016,readiness-assessor,v0.3.0,high,Reviewer Name,false,2026-09-06,2026-09-06,Policy versioning and change control,approved_record,ticket register
WB-017,readiness-assessor,v0.2.1,medium,AI Risk Committee,FALSE,2026-09-07,2026-09-07,"Evidence floor: examined counts, inconclusive gate, non-waivable critical.",approved_record,ticket register
WB-018,readiness-assessor,v0.2.1,medium,AI Risk Committee,FALSE,2026-09-07,2026-09-07,Wire evidence floor into gate; critical controls non-waivable; scope scanner off fixtures; retire EXC-002.,approved_record,ticket register
WB-019,readiness-assessor,v0.3.0,high,NOT_RECORDED,FALSE,2026-09-10,,Replace the inert BM25 threshold with a relative retrieval gate.,historical_reconstructed,repository evidence; approval metadata not present
